Platform,Year,Genre,Publisher,Global_Sales,Is_hit
Wii,2006.0,Sports,Nintendo,82.74,1
NES,1985.0,Platform,Nintendo,40.24,1
Wii,2008.0,Racing,Nintendo,35.82,1
Wii,2009.0,Sports,Nintendo,33.0,1
GB,1996.0,Role-Playing,Nintendo,31.37,1
GB,1989.0,Puzzle,Nintendo,30.26,1
DS,2006.0,Platform,Nintendo,30.01,1
Wii,2006.0,Misc,Nintendo,29.02,1
Wii,2009.0,Platform,Nintendo,28.62,1
NES,1984.0,Shooter,Nintendo,28.31,1
DS,2005.0,Simulation,Nintendo,24.76,1
DS,2005.0,Racing,Nintendo,23.42,1
GB,1999.0,Role-Playing,Nintendo,23.1,1
Wii,2007.0,Sports,Nintendo,22.72,1
Wii,2009.0,Sports,Nintendo,22.0,1
X360,2010.0,Misc,Microsoft Game Studios,21.82,1
PS3,2013.0,Action,Take-Two Interactive,21.4,1
PS2,2004.0,Action,Take-Two Interactive,20.81,1
SNES,1990.0,Platform,Nintendo,20.61,1
DS,2005.0,Misc,Nintendo,20.22,1
DS,2006.0,Role-Playing,Nintendo,18.36,1
GB,1989.0,Platform,Nintendo,18.14,1
NES,1988.0,Platform,Nintendo,17.28,1
X360,2013.0,Action,Take-Two Interactive,16.38,1
PS2,2002.0,Action,Take-Two Interactive,16.15,1
GBA,2002.0,Role-Playing,Nintendo,15.85,1
DS,2010.0,Role-Playing,Nintendo,15.32,1
DS,2005.0,Puzzle,Nintendo,15.3,1
PS2,2001.0,Racing,Sony Computer Entertainment,14.98,1
X360,2011.0,Shooter,Activision,14.76,1
GB,1998.0,Role-Playing,Nintendo,14.64,1
X360,2010.0,Shooter,Activision,14.64,1
3DS,2013.0,Role-Playing,Nintendo,14.35,1
PS4,2015.0,Shooter,Activision,14.24,1
PS3,2012.0,Shooter,Activision,14.03,1
X360,2012.0,Shooter,Activision,13.73,1
X360,2009.0,Shooter,Activision,13.51,1
PS3,2011.0,Shooter,Activision,13.46,1
PS2,2001.0,Action,Take-Two Interactive,13.1,1
Wii,2008.0,Fighting,Nintendo,13.04,1
PS3,2010.0,Shooter,Activision,12.73,1
DS,2005.0,Simulation,Nintendo,12.27,1
3DS,2011.0,Racing,Nintendo,12.21,1
X360,2007.0,Shooter,Microsoft Game Studios,12.14,1
PS4,2014.0,Action,Take-Two Interactive,11.98,1
DS,2009.0,Action,Nintendo,11.9,1
N64,1996.0,Platform,Nintendo,11.89,1
PS2,2004.0,Racing,Sony Computer Entertainment,11.66,1
Wii,2007.0,Platform,Nintendo,11.52,1
3DS,2014.0,Role-Playing,Nintendo,11.33,1
GB,1992.0,Adventure,Nintendo,11.18,1
